date,revenue,expenses,profit,customers,orders,avg_order_value,marketing_spend,customer_satisfaction,returns
2024-01-01,125000,95000,30000,1200,850,147.06,15000,4.2,42
2024-02-01,132000,97000,35000,1350,920,143.48,16000,4.3,38
2024-03-01,141000,99000,42000,1480,1010,139.60,17500,4.4,35
2024-04-01,138000,101000,37000,1420,980,140.82,18000,4.1,45
2024-05-01,155000,103000,52000,1600,1100,140.91,19000,4.5,32
2024-06-01,162000,105000,57000,1720,1180,137.29,20000,4.6,28
2024-07-01,158000,108000,50000,1680,1150,137.39,19500,4.4,36
2024-08-01,171000,110000,61000,1850,1260,135.71,21000,4.7,25
2024-09-01,168000,112000,56000,1800,1230,136.59,20500,4.5,30
2024-10-01,182000,115000,67000,1950,1350,134.81,22000,4.8,22
2024-11-01,195000,118000,77000,2100,1480,131.76,24000,4.7,27
2024-12-01,210000,125000,85000,2300,1600,131.25,26000,4.9,20
2025-01-01,198000,120000,78000,2150,1520,130.26,23000,4.6,29
2025-02-01,205000,122000,83000,2250,1560,131.41,24000,4.7,24
2025-03-01,218000,125000,93000,2400,1680,129.76,25500,4.8,21
2025-04-01,225000,128000,97000,2500,1750,128.57,27000,4.9,18
2025-05-01,232000,130000,102000,2600,1820,127.47,28000,4.8,22
2025-06-01,245000,133000,112000,2750,1900,128.95,29000,5.0,16
